Datetime,Observation
2012-06-04,121.6631864
2012-06-20,124.3964614
2012-08-07,122.365956
2012-08-23,124.0375757
2012-09-24,123.5086685
2012-10-10,124.4172474
2012-11-11,125.3349252
2012-12-13,126.1183949
2013-03-19,120.002301
2013-03-28,121.2413017
2013-04-12,120.7965281
2013-04-28,122.7040902
2013-06-15,123.4685479
2013-07-01,123.6782764
2013-07-17,124.6390349
2013-07-25,123.7557386
2013-08-10,123.2014523
2013-08-18,123.2815163
2013-08-26,124.6638853
2013-09-03,123.4212454
2013-09-19,122.9912335
2013-09-27,122.0098055
2013-10-13,125.1533305
2013-10-21,120.7783635
2013-10-29,122.2964461
2013-11-06,122.6376752
2013-11-14,126.8444918
2013-12-16,119.9854206
2014-01-17,120.0672942
2014-02-02,122.0311267
2014-03-06,NaN
2014-03-22,119.3448611
2014-03-30,120.9060972
2014-05-17,125.5558225
2014-06-18,125.5274056
2014-06-26,123.4308595
2014-07-04,125.7985842
2014-07-12,124.6594419
2014-07-20,126.413479
2014-08-05,125.5279587
2014-08-13,125.5535149
2014-08-21,126.0875891
2014-09-14,124.9487386
2014-09-22,123.9018458
2014-10-16,124.1850962
2014-11-09,123.0457996
2014-11-17,122.4512628
2015-01-04,121.6406037
2015-03-01,121.2052938
2015-03-09,121.492972
2015-03-25,120.988112
2015-05-12,124.8052203
2015-05-28,126.0047368
2015-07-07,124.259627
2015-07-15,125.1680098
2015-07-31,123.8867393
2015-08-08,127.0626711
2015-09-01,126.2688242
2015-09-09,127.4264238
2015-09-17,127.4480649
2015-10-03,128.6591056
2015-11-20,123.6483736
2015-12-06,124.3085049
2015-12-14,124.0261053
2015-12-30,122.7218526
2016-01-31,122.5824555
2016-02-08,123.0423707
2016-02-24,126.1968784
2016-03-19,122.1173968
2016-05-06,121.9853442
2016-05-14,122.4937319
2016-05-22,122.5943907
2016-05-30,121.3582654
2016-07-01,126.0629437
2016-07-25,124.9070356
2016-08-10,127.2522573
2016-08-18,126.109534
2016-09-03,127.5508905
2016-09-11,124.2449429
2016-09-19,121.8542595
2016-09-27,126.4388737
2016-10-05,124.8580662
2016-10-13,124.9323811
2016-10-29,124.1528114
2016-11-06,122.7301468
2016-12-08,124.8373331
2017-01-17,122.7321381
2017-02-18,122.4805407
2017-04-07,122.0235827
2017-04-15,126.6605512
2017-04-23,122.482166
2017-05-17,124.8849254
2017-05-25,122.465885
2017-06-02,122.3275822
2017-06-26,122.7797131
2017-07-04,124.0893371
2017-07-20,123.1128036
2017-07-28,124.3895857
2017-08-05,123.0477787
2017-08-13,126.4439579
2017-09-06,125.2013208
2017-09-14,127.8564246
2017-09-22,125.8780796
2017-10-16,125.025934
2017-10-24,124.9137523
2017-11-09,124.6198766
2017-11-17,124.9735038
2017-11-25,125.3978911
2017-12-11,NaN
2017-12-27,120.1402284
2018-01-20,122.9653763
2018-02-05,121.618165
2018-02-21,121.6786899
2018-03-09,122.134563
2018-03-25,122.3835639
2018-04-02,NaN
2018-04-26,118.7464334
2018-05-20,123.5853427
2018-06-29,125.8606921
2018-07-07,122.7945473
2018-07-15,124.0721737
2018-07-23,126.1588614
2018-08-16,124.4293406
2018-09-01,126.7322761
2018-09-09,125.1571352
2018-09-17,126.3146096
2018-10-19,124.1882975
2018-11-04,123.523853
2018-11-12,124.2529815
2018-12-30,122.6335786
